iter	Passed	Remaining
0	1	136
1	2	128
2	3	124
3	4	117
4	6	122
5	7	123
6	9	119
7	9	114
8	10	110
9	11	107
10	12	103
11	13	102
12	15	100
13	15	98
14	17	96
15	18	94
16	19	92
17	20	91
18	20	89
19	21	87
20	23	86
21	24	85
22	24	83
23	26	82
24	26	80
25	27	79
26	28	77
27	29	76
28	30	74
29	31	73
30	32	72
31	33	71
32	34	70
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	45	56
45	46	55
46	47	54
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	75	29
72	76	28
73	77	27
74	78	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	93	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
